Category of Crops,Category of Operations,Operation / Task,Machinery Category,Attachment
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Brush Cutter,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Power Weeder,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Tree/branch cutting,Chainsaw,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Tree/branch cutting,Pole Saw,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Tree/branch cutting,Secateurs (Pruning Shears),
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Soil loosening / light tillage,Power Weeder,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Soil loosening / light tillage,Power Tiller,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Intercultivation,Power Weeder,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Furrow / ridge formation,Power Weeder,Ridger
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Furrow / ridge formation,Power Tiller,Ridger
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Furrow / ridge formation,Power Weeder,Furrower
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Pit digging,Earth/Post-Hole Auger,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Mulching and waste management,Chaff Cutter,
Plantation & Perennial Crops,"Land Preparation, Sowing & Cleaning",Mulching and waste management,Wood Chipper,
Plantation & Perennial Crops,Irrigation & Water,Water lifting/pumping,Centrifugal/Surface Water Pump,
Plantation & Perennial Crops,Irrigation & Water,Water lifting/pumping,Submersible Pump,
Plantation & Perennial Crops,Irrigation & Water,Surface irrigation,Pump,Pipeline
Plantation & Perennial Crops,Irrigation & Water,Surface irrigation,Pump,Hose System
Plantation & Perennial Crops,Irrigation & Water,Drip irrigation,Drip Irrigation System,
Plantation & Perennial Crops,Irrigation & Water,Sprinkler irrigation,Sprinkler System,
Plantation & Perennial Crops,Irrigation & Water,Fertigation,Fertigation Unit,
Plantation & Perennial Crops,Irrigation & Water,Fertigation,Venturi Injector,
Plantation & Perennial Crops,Irrigation & Water,Irrigation automation,Automated Irrigation Controller,
Plantation & Perennial Crops,Crop Care Machinery,Inter-row weed management,Power Weeder,
Plantation & Perennial Crops,Crop Care Machinery,Under-plant weed cutting,Brush Cutter,
Plantation & Perennial Crops,Crop Care Machinery,Mulch material preparation,Chaff Cutter,
Plantation & Perennial Crops,Crop Care Machinery,Mulch material preparation,Wood Chipper,
Plantation & Perennial Crops,Crop Care Machinery,Manure/compost transport,Farm Trolley/Trailer,
Plantation & Perennial Crops,Crop Care Machinery,Fertilizer application,Fertilizer Applicator,
Plantation & Perennial Crops,Crop Care Machinery,Foliar spraying,Battery/Knapsack Sprayer,
Plantation & Perennial Crops,Crop Care Machinery,Mist spraying,Mist Blower,
Plantation & Perennial Crops,Crop Care Machinery,High-canopy/crown spraying,HTP Sprayer,
